Category,Product Name,Final Price,Original Price,Discount,Image URL
household_essentials,Link Paspanguwa 25g,Rs 100.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic5385.jpg
household_essentials,Surf Excel Detergent Powder Comfort 1kg,Rs 459.00 / Unit,Rs 540.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic100420.jpg
household_essentials,Surf Excel Detergent Powder Comfort 500g,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic100421.jpg
household_essentials,Good Knight Mosquito Coil 10 Hours 10S,Rs 180.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic93319.jpg
household_essentials,Atlas Square Ruled Exercise Book 80 Pages,Rs 90.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic107359.jpg
household_essentials,File Top Transparent Bm60c,Rs 238.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic107372.jpg
household_essentials,Lifebuoy Shampoo Health Strong And Long 80ml,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic30098.jpg
household_essentials,Flora Mini Paper Serviettes 1Ply 100S,Rs 285.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic14790.jpg
household_essentials,Keells Dishwash Bar 200g,Rs 121.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic111082.jpg
household_essentials,Keells Dishwash Bar 100g,Rs 63.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic111083.jpg
household_essentials,Nimex Facial Tissue Box 2Ply 100S,Rs 290.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic15269.jpg
snacks,Nutrimedley Hazelnuts 75g,Rs 990.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Nutrimedley Walnuts 75g,Rs 990.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Nutrimedley Hazelnuts Jaggery Coated 75g,"Rs 1,090.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Nutrimedley California Almonds 75g,Rs 990.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Nutrimedley Jaggery Coated Almonds 75g,"Rs 1,090.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Mc Party Spicy Dhal Mix 90g,Rs 295.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Lorenz Crunchips Barbecue Flavour 100g,Rs 875.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118001.jpg
snacks,Munchee Kome Bite Salt & Pepper 40g,Rs 100.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120495.jpg
snacks,Mr. Pop Classic 25g,Rs 68.00 / Unit,Rs 80.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116058.jpg
snacks,4700Bc Himalayn Slt Craml Popcrn 60g,Rs 560.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120339.jpg
grocery,Krest Soya Meat Curry 90g,Rs 160.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121385.jpg
grocery,Supreme Sprats Ready To Cook 100g,Rs 525.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic114240.jpg
grocery,Cic Kaluheenati Red Raw Rice 1kg,Rs 630.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic4446.jpg
grocery,Keells Toor Dhal 500g,Rs 800.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic117956.jpg
grocery,Keells Semolina 500g,Rs 375.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic117953.jpg
grocery,Munchee Milk Short Cake Biscuit 200g,Rs 230.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic19379.jpg
grocery,Cic Red Suduru Rice 1Kg (5U),Rs 560.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
grocery,Cic Sudu Suduru Rice 1Kg (5U),Rs 620.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
grocery,Catch Coriander 100g,Rs 170.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic122154.jpg
grocery,Chupa Chups Lollipop Gum 14g,Rs 50.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125766.jpg
grocery,Lays Classic Salted 48g,Rs 275.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125901.jpg
grocery,Keells Quinoa Seeds 100g,Rs 490.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
